date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:03:34	148/148	---M-Z	200	added ('OK')	text/plain	etag:%22125-555d553919c80-gzip%22	http://php.net/robots.txt		(from )
00:03:35	30140/30140	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Dec%202017%2022:30:09%20GMT	http://php.net/	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/index.html	(from )
00:03:35	822/822	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22336-50d275e263080%22	http://php.net/favicon.ico	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/favicon.ico	(from http://php.net/)
00:03:35	593/593	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Dec%202017%2023:03:30%20GMT	http://php.net/phpnetimprovedsearch.src	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/phpnetimprovedsearch.html	(from http://php.net/)
00:03:35	7139/7139	---M--	200	added ('OK')	application/atom+xml	date:Thu,%2014%20Dec%202017%2023:03:30%20GMT	http://php.net/releases/feed.php	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/releases/feed.php	(from http://php.net/)
00:03:36	30140/30140	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Dec%202017%2022:30:09%20GMT	http://php.net/index.php	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/index-2.html	(from http://php.net/)
00:03:36	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2014%20Dec%202017%2023:03:31%20GMT	http://php.net/index	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/index	(from http://php.net/)
00:03:36	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2014%20Dec%202017%2023:03:31%20GMT	http://php.net/index	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/index	(from http://php.net/)
00:03:36	2519/2519	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Jan%202015%2010:53:38%20GMT	http://php.net/cached.php?t=1421837618&f=/fonts/Fira/fira.css	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/cached0152.css	(from http://php.net/)
00:03:37	1709/1709	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Jan%202015%2010:53:38%20GMT	http://php.net/cached.php?t=1421837618&f=/fonts/Font-Awesome/css/fontello.css	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/cached15be.css	(from http://php.net/)
00:03:37	32158/32158	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Nov%202016%2018:00:02%20GMT	http://php.net/cached.php?t=1478800802&f=/styles/theme-base.css	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/cached3c70.css	(from http://php.net/)
00:03:37	8740/8740	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Dec%202015%2022:40:06%20GMT	http://php.net/cached.php?t=1449787206&f=/styles/theme-medium.css	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/cached00eb.css	(from http://php.net/)
00:03:37	2047/2047	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Apr%202015%2008:30:03%20GMT	http://php.net/cached.php?t=1429259403&f=/styles/home.css	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/cached5bd9.css	(from http://php.net/)
00:03:37	1513/1513	---M--	200	added ('OK')	image/svg+xml	etag:%225e9-54d868ef60ec0%22	http://php.net/images/logos/php-logo.svg	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/images/logos/php-logo.svg	(from http://php.net/)
00:03:38	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2014%20Dec%202017%2023:03:33%20GMT	http://php.net/downloads	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/downloads	(from http://php.net/)
00:03:38	21847/21847	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Dec%202017%2023:03:33%20GMT	http://php.net/downloads.php	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/downloads.html	(from http://php.net/)
00:03:38	13326/13326	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Dec%202017%2023:03:33%20GMT	http://php.net/docs.php	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/docs.html	(from http://php.net/)
00:03:38	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2014%20Dec%202017%2023:03:33%20GMT	http://php.net/get-involved	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/get-involved	(from http://php.net/)
00:03:39	13525/13525	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Dec%202017%2023:03:34%20GMT	http://php.net/get-involved.php	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/get-involved.html	(from http://php.net/)
00:03:39	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2014%20Dec%202017%2023:03:34%20GMT	http://php.net/support	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/support	(from http://php.net/)
00:03:39	14517/14517	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Dec%202017%2023:03:34%20GMT	http://php.net/support.php	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/support.html	(from http://php.net/)
00:03:39	17967/17967	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Dec%202017%2005:03:30%20GMT	http://php.net/manual/en/getting-started.php	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/manual/en/getting-started.html	(from http://php.net/)
00:03:40	15695/15695	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Dec%202017%2005:03:30%20GMT	http://php.net/manual/en/introduction.php	C:/Users/Jause/Desktop/Ejercicios%20examen%20DES/WEB_PHP.net/xdd/php.net/manual/en/introduction.html	(from http://php.net/)
